iter,vol_nn,vol_arch,sharpe_nn,sharpe_arch,d_vol,d_sharpe
0,13.821,14.566,1.1207,0.9992,0.745000000000001,0.12150000000000005
1,13.35,16.351,1.1611,1.0327,3.0009999999999994,0.12840000000000007
2,12.431,12.377,1.1284,1.0827,-0.053999999999998494,0.045700000000000074
3,12.883,13.23,1.16,1.1325,0.3470000000000013,0.027499999999999858
4,14.327,14.62,1.137,1.1111,0.29299999999999926,0.025900000000000034
5,11.449,11.617,1.0801,1.1202,0.16800000000000104,-0.040100000000000025
6,12.114,12.101,1.1328,1.0857,-0.0129999999999999,0.04709999999999992
7,12.961,13.167,1.2117,1.0176,0.20599999999999952,0.19409999999999994
8,11.566,12.066,1.3394,1.2478,0.5,0.0915999999999999
9,12.05,12.163,1.247,1.1584,0.11299999999999955,0.08860000000000001
10,12.233,12.423,1.2488,1.1715,0.1899999999999995,0.07729999999999992
11,12.567,13.4,1.3449,1.3512,0.8330000000000002,-0.006299999999999972
12,13.316,13.772,1.0283,1.0913,0.4559999999999995,-0.06299999999999994
13,13.104,14.647,1.3001,1.329,1.543000000000001,-0.028899999999999926
14,13.137,14.195,0.9297,0.7899,1.0579999999999998,0.13979999999999992
15,12.151,12.258,1.4324,1.3921,0.10699999999999932,0.0403
16,12.619,12.813,1.1643,0.9612,0.19400000000000084,0.20309999999999984
17,12.266,13.64,1.1058,0.8232,1.3740000000000006,0.28259999999999985
18,12.948,13.033,1.1146,1.1396,0.08499999999999908,-0.02499999999999991
19,13.292,13.346,1.2228,1.1517,0.05400000000000027,0.07110000000000016
20,11.246,11.532,0.9937,1.0928,0.2859999999999996,-0.09909999999999997
21,12.465,12.55,1.2589,1.313,0.08500000000000085,-0.05410000000000004
22,12.962,13.272,1.127,1.1357,0.3100000000000005,-0.00869999999999993
23,12.235,12.346,1.2983,1.3822,0.11100000000000065,-0.08390000000000009
24,12.506,13.045,1.2926,1.316,0.5389999999999997,-0.023400000000000087
25,13.064,12.962,1.1875,1.0465,-0.10200000000000031,0.14100000000000001
26,13.349,14.371,1.3786,1.0953,1.0220000000000002,0.2833000000000001
27,12.279,12.984,1.2734,1.188,0.7050000000000001,0.08540000000000014
28,11.753,12.16,1.1283,1.1551,0.40700000000000003,-0.026799999999999935
29,13.028,13.459,0.9414,1.0458,0.43099999999999916,-0.10440000000000005
30,14.043,14.908,1.0652,0.8902,0.8650000000000002,0.17499999999999993
31,14.054,14.726,1.1632,1.2034,0.6720000000000006,-0.040200000000000014
32,12.299,12.301,1.1697,1.1562,0.002000000000000668,0.013500000000000068
33,12.139,12.491,1.2789,1.1621,0.3520000000000003,0.11680000000000001
34,11.949,12.057,1.1734,1.102,0.10800000000000054,0.07139999999999991
35,11.426,11.462,1.28,1.2415,0.03599999999999959,0.03849999999999998
36,12.098,12.516,1.4191,1.264,0.41799999999999926,0.15510000000000002
37,12.805,13.051,1.2275,1.1634,0.24600000000000044,0.06410000000000005
38,12.435,12.644,1.3507,1.2677,0.20899999999999963,0.08299999999999996
39,13.362,13.832,1.1033,1.093,0.47000000000000064,0.010299999999999976
40,13.151,13.405,0.8782,0.963,0.25399999999999956,-0.08479999999999999
41,13.657,13.728,0.902,0.9056,0.07099999999999973,-0.0035999999999999366
42,11.878,12.185,1.2387,1.2495,0.3070000000000004,-0.010800000000000143
43,11.711,13.14,1.0624,0.4613,1.4290000000000003,0.6011
44,12.039,12.523,1.1828,1.0894,0.484,0.09340000000000015
45,12.771,14.726,1.0906,0.5133,1.955,0.5773
46,11.899,12.094,1.4097,1.4913,0.19500000000000028,-0.08160000000000012
47,11.643,11.644,1.4392,1.4834,0.0009999999999994458,-0.04420000000000002
48,13.392,13.643,1.1493,1.097,0.2510000000000012,0.05230000000000001
49,12.569,12.647,1.2863,1.2356,0.0779999999999994,0.05069999999999997
50,12.035,12.029,1.3283,1.3053,-0.006000000000000227,0.02300000000000013
51,14.546,14.98,0.8865,0.8826,0.43400000000000105,0.0038999999999999035
52,12.064,12.529,1.3014,1.2538,0.46499999999999986,0.047599999999999865
53,12.328,12.494,1.1443,1.2092,0.16600000000000037,-0.06489999999999996
54,12.757,12.672,1.2935,1.2928,-0.08499999999999908,0.000700000000000145
55,12.021,12.087,1.1145,1.2026,0.06599999999999895,-0.08809999999999985
56,11.975,12.739,1.1996,1.0007,0.7640000000000011,0.19890000000000008
57,12.112,12.028,1.2181,1.2572,-0.08399999999999963,-0.039100000000000135
58,12.763,12.976,1.1001,1.1513,0.21300000000000097,-0.05119999999999991
59,12.415,12.707,1.4461,1.2928,0.2920000000000016,0.1533
60,13.02,13.292,1.2564,1.113,0.27200000000000024,0.14339999999999997
61,12.973,13.394,1.5086,1.3587,0.4209999999999994,0.14989999999999992
62,13.466,13.763,1.2292,1.2137,0.2970000000000006,0.01550000000000007
63,10.958,11.333,1.1181,1.0376,0.375,0.08050000000000002
64,12.298,12.926,1.2381,1.0515,0.6280000000000001,0.18659999999999988
65,12.386,12.991,1.1253,1.1624,0.6050000000000004,-0.03710000000000013
66,12.173,12.489,1.2874,1.2171,0.3160000000000007,0.07030000000000003
67,12.265,12.184,1.2934,1.3024,-0.0810000000000013,-0.008999999999999897
68,12.514,12.759,1.2777,1.1905,0.245000000000001,0.08720000000000017
69,12.879,13.291,1.0713,1.0386,0.4120000000000008,0.03269999999999995
70,12.552,12.559,1.284,1.2742,0.006999999999999673,0.009800000000000031
71,12.854,13.911,1.2207,0.9357,1.0570000000000004,0.2849999999999999
72,13.346,13.588,1.2466,1.1882,0.2419999999999991,0.05840000000000001
73,13.105,13.671,1.3317,1.282,0.565999999999999,0.04970000000000008
74,13.434,13.832,1.252,1.0946,0.39800000000000146,0.15739999999999998
75,12.809,13.253,1.3556,1.3117,0.44400000000000084,0.04389999999999983
76,11.95,12.629,1.3121,1.0903,0.6790000000000003,0.2218
77,13.216,13.368,1.2815,1.3594,0.15200000000000102,-0.07789999999999986
78,11.728,11.958,1.2552,1.1987,0.23000000000000043,0.056499999999999995
79,12.391,12.724,1.0466,0.9506,0.3330000000000002,0.09599999999999997
80,13.044,13.971,1.1203,1.1348,0.9269999999999996,-0.014499999999999957
81,13.609,13.622,1.0397,1.0042,0.0129999999999999,0.03550000000000009
82,12.666,12.538,1.1059,1.0725,-0.1280000000000001,0.033400000000000096
83,13.601,13.544,0.7548,0.9281,-0.057000000000000384,-0.1733
84,14.117,14.288,1.1149,1.1559,0.17099999999999937,-0.040999999999999925
85,12.448,12.366,1.1525,1.0565,-0.08200000000000074,0.09600000000000009
86,12.185,14.202,1.2931,0.9545,2.0169999999999995,0.3385999999999999
87,13.13,13.198,0.9224,1.0505,0.06799999999999962,-0.1281
88,12.537,12.45,1.0869,1.0801,-0.08700000000000152,0.006799999999999917
89,13.415,13.461,1.4391,1.5375,0.04600000000000115,-0.09840000000000004
90,14.42,14.547,1.0635,0.9435,0.12700000000000067,0.11999999999999988
91,12.905,13.943,1.3183,1.2119,1.0380000000000003,0.10640000000000005
92,13.172,13.646,1.1303,1.1579,0.4740000000000002,-0.027599999999999847
93,11.883,12.261,1.1586,1.037,0.3780000000000001,0.12160000000000015
94,11.964,12.022,1.2299,1.2957,0.05799999999999983,-0.06580000000000008
95,14.366,14.85,1.323,1.3867,0.484,-0.06370000000000009
96,12.859,12.956,1.4155,1.4744,0.09699999999999953,-0.05889999999999995
97,13.197,13.6,1.0774,1.0179,0.40300000000000047,0.059499999999999886
98,13.043,13.559,1.1161,1.1987,0.516,-0.0826
99,13.146,13.432,1.2319,1.3656,0.2859999999999996,-0.13369999999999993
100,12.462,12.745,1.0039,1.0477,0.2829999999999995,-0.04380000000000006
101,12.537,12.52,1.3547,1.3198,-0.017000000000001236,0.03489999999999993
102,12.703,13.2,1.083,1.1463,0.4969999999999999,-0.06330000000000013
103,13.181,13.503,1.2213,1.2228,0.32200000000000095,-0.0015000000000000568
104,12.736,13.517,1.2623,1.189,0.7809999999999988,0.07329999999999992
105,11.592,11.657,1.1199,1.2861,0.0649999999999995,-0.16620000000000013
106,14.033,14.708,0.9874,0.9161,0.6750000000000007,0.07130000000000003
107,13.045,13.848,1.3469,0.986,0.8030000000000008,0.3609
108,13.028,13.037,1.2895,1.285,0.009000000000000341,0.0045000000000001705
109,13.249,13.96,1.0912,1.1828,0.7110000000000003,-0.09160000000000013
110,12.602,12.886,1.1365,1.2242,0.2839999999999989,-0.08769999999999989
111,12.154,12.135,1.2085,1.2051,-0.019000000000000128,0.0033999999999998476
112,12.876,13.357,0.9554,0.9369,0.48099999999999987,0.018500000000000072
113,12.104,12.297,1.1804,1.0893,0.1930000000000014,0.09109999999999996
114,13.381,13.466,1.2064,1.201,0.08499999999999908,0.005399999999999849
115,13.753,14.114,1.2529,1.1966,0.36100000000000065,0.056299999999999795
116,13.06,13.134,1.2565,1.3201,0.07399999999999984,-0.0636000000000001
117,12.762,12.692,1.0772,1.1042,-0.07000000000000028,-0.027000000000000135
118,12.96,13.45,1.205,1.1881,0.48999999999999844,0.016900000000000137
119,13.177,13.347,1.1166,1.0174,0.16999999999999993,0.09919999999999995
120,13.021,13.16,1.4527,1.3722,0.13899999999999935,0.08050000000000002
121,13.511,13.384,1.207,1.2331,-0.1269999999999989,-0.026100000000000012
122,12.855,13.199,1.1785,1.1493,0.3439999999999994,0.029200000000000115
123,13.695,13.852,1.2021,1.1319,0.15700000000000003,0.07020000000000004
124,11.533,11.727,1.1893,1.1006,0.19400000000000084,0.0887
125,13.207,13.689,1.2862,1.3725,0.4819999999999993,-0.08630000000000004
126,12.761,13.035,1.2569,1.1384,0.2740000000000009,0.11849999999999983
127,12.233,12.269,1.1702,1.1967,0.03599999999999959,-0.02650000000000019
128,12.517,13.348,1.2478,1.1827,0.8310000000000013,0.06509999999999994
